id	word	readings	meanings
1355850	場所	ばしょ	"place;location;spot;position
room;space
basho;wrestling tournament"
1154330	暗い;昏い;冥い;闇い	くらい	"dark;gloomy
dark (in colour);dull
depressed;dispirited
sorrowful;bitter (as in a dark past)
unclear;unfamiliar;unknown"
1497110	普及	ふきゅう	diffusion;spread;popularization;promulgation;familiarization
1407460	多い	おおい	"many;numerous;a lot
large quantity;large amount
frequent;common"
1428830	眺める	ながめる	to view;to gaze at
1499320	部屋	へや	"room;chamber
apartment;flat;pad
stable"
1532350	明るい;明い	あかるい	"bright;colourful
cheerful
familiar (with);knowledgeable (about)
fair (e.g. politics);clean"
1004820	これ迄;此れまで;是迄;此れ迄	これまで	"so far;up to now;hitherto
that's enough (for today);it ends here"
1409840	対応	たいおう	"interaction;correspondence;coping with;dealing with;support;response;reception
software support;ability of a computer system to run specific software;compatibility"
1596730	続々;続続	ぞくぞく	successively;one after another
1367010	人気	にんき	popularity;popular feeling;business conditions
1949190	他	た	other (esp. people and abstract matters)
1386060	設定	せってい	"establishment;creation;posing (a problem);setting (movie, novel, etc.);scene
options setting;preference settings;configuration;setup"
1219130	基調	きちょう	"basic tone;underlying tone;basic theme;basis;keynote
trend
keynote"
1472720	背景	はいけい	"background;scenery;backdrop;setting;circumstance;context
backing;support (from behind the scenes)"
1197610	画面	がめん	terminal screen;scene;picture;the field (in TV);photo
1251810	継続	けいぞく	continuation
1980660	身につける;身に付ける;身に着ける	みにつける	"to learn;to acquire knowledge
to carry;to wear (clothes, etc.);to put on"
1264540	言葉;詞;辞	ことば;けとば	"language;dialect
word;words;phrase;term;expression;remark
speech;(manner of) speaking"
1223240	記事	きじ	article;news story;report;account
1456360	読む	よむ	"to read
to count
to guess;to predict;to read (someone's thoughts);to see (e.g. into someone's heart);to divine"
1156800	意味	いみ	meaning;significance
1464580	日本語訳	にほんごやく	Japanese translation
1386020	設計	せっけい	plan;design;layout
1517090	方法	ほうほう	method;process;manner;way;means;technique
1536030	問題解決	もんだいかいけつ	problem-solving
1264670	限定	げんてい	limit;restriction
2037940	書	しょ	"document;book
penmanship;handwriting;calligraphy (esp. Chinese)"
1321260	実践	じっせん	practice;practising;putting into practice;implementation
1409420	体験	たいけん	personal experience;physical experience;one's own experience
2136180	小さな	ちいさな	small;little;tiny
1309530	思考	しこう	thought;consideration;thinking
2819970	だった	だった	was
1156530	意見	いけん	opinion;view;comment
1365310	親バカ;親ばか;親馬鹿	おやバカ;おやばか	over-fond parent;doting parent
1582670	二人;２人	ふたり;ににん	two persons;two people;pair;couple
